"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"
"abind"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4-5"	NA	"R (>= 1.5.0)"	"methods, utils"	NA	NA	NA	"LGPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"askpass"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1"	NA	NA	"sys (>= 2.1)"	NA	"testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"assertthat"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2.1"	NA	NA	"tools"	NA	"testthat, covr"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"backports"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.1"	NA	"R (>= 3.0.0)"	NA	NA	NA	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"base"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	"methods"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	NA	"4.2.2"
"base64enc"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1-3"	NA	"R (>= 2.9.0)"	NA	NA	NA	"png"	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"bit"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.0.5"	NA	"R (>= 2.9.2)"	NA	NA	"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"bit64"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.0.5"	NA	"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats"	NA	NA	NA	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"blob"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.3"	NA	NA	"methods, rlang, vctrs (>= 0.2.1)"	NA	"covr, crayon, pillar (>= 1.2.1), testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"boot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3-28"	"recommended"	"R (>= 3.0.0), graphics, stats"	NA	NA	"MASS, survival"	NA	"Unlimited"	NA	NA	NA	NA	"no"	"4.2.2"
"brio"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.4"	NA	"R (>= 3.6)"	NA	NA	"covr, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"broman"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.80"	NA	"R (>= 2.15.0)"	"utils, graphics, grDevices, stats, ggplot2, grid"	NA	"testthat, devtools, roxygen2"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
